Number of Data Points = 25
        
File	hc(nm)	Pmax(µN)	S(µN/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
Method 1_00000 LC.hys	221.638155	10000.616205	212.702699	1332622.658443	258.777954	256.900811	163.250392	7.504462	35.515948	193.089586	1.357198	-86.404249	-23.729970	1.519944
Method 1_00001 LC.hys	159.431568	10000.922004	155.944219	748411.934777	208.865644	207.530122	159.710605	13.362857	16.835593	116.690731	1.416457	-86.394249	-23.729970	-0.337613
Method 1_00002 LC.hys	168.780299	10000.841212	176.215662	825606.331475	211.612432	211.345363	171.827562	12.113329	38.887618	138.012139	1.292138	-86.384249	-23.729970	-1.091362
Method 1_00003 LC.hys	299.522782	10000.417785	209.680164	2302545.451678	335.453809	335.293039	122.430062	4.343201	0.536832	233.791284	2.128202	-86.374249	-23.729970	-1.371977
Method 1_00004 LC.hys	193.793451	10000.718871	174.825848	1050507.717913	237.066504	236.696370	151.126577	9.519891	40.908509	163.438463	1.280646	-86.364248	-23.729970	-1.336256
Method 1_00005 LC.hys	234.021504	10000.925103	227.288146	1468937.400434	267.466457	267.022318	166.153682	6.808272	17.984398	200.712131	1.507013	-86.404249	-23.719970	-1.236198
Method 1_00006 LC.hys	234.075738	10000.797768	209.347944	1469549.174334	270.139060	269.904121	153.007059	6.805351	46.682418	207.805039	1.299928	-86.394249	-23.719970	-1.141737
Method 1_00007 LC.hys	335.102672	10000.882548	210.898232	2835653.505749	371.012856	370.667986	110.963766	3.526835	52.531545	310.030724	1.278716	-86.384249	-23.719970	-0.867413
Method 1_00008 LC.hys	255.105360	10000.626037	185.577777	1716518.591852	296.194613	295.522212	125.497924	5.826110	21.894062	219.355021	1.413405	-86.374249	-23.719970	-0.647944
Method 1_00009 LC.hys	538.665776	10000.861908	238.996728	6996645.421228	570.364461	570.049664	80.053781	1.429380	1.218765	485.140055	2.029137	-86.364248	-23.719970	-0.487354
Method 1_00010 LC.hys	361.066595	10000.587823	220.419004	3260751.168443	396.429184	395.094700	108.149629	3.066958	20.941657	328.447903	1.468936	-86.404249	-23.709970	-0.471094
Method 1_00011 LC.hys	544.612501	10000.465853	216.618250	7146989.520371	579.656298	579.237236	71.790718	1.399256	19.806001	511.154639	1.474725	-86.394249	-23.709970	-0.352307
Method 1_00012 LC.hys	494.301546	10000.509504	187.028654	5926950.277909	534.316557	534.404397	68.065546	1.687294	26.696299	460.714088	1.378150	-86.384249	-23.709970	-0.250249
Method 1_00013 LC.hys	523.894722	10000.623468	197.866965	6630331.084759	562.712711	561.801341	68.083287	1.508314	2.447336	469.027931	1.835565	-86.374249	-23.709970	-0.045874
Method 1_00014 LC.hys	537.589018	10000.469481	175.881775	6969599.152443	580.645986	580.233301	59.027143	1.434870	12.853811	495.073313	1.497739	-86.364248	-23.709970	-0.094306
Method 1_00015 LC.hys	477.915772	10000.645890	221.019273	5554959.533704	511.581853	511.851656	83.085364	1.800309	0.508064	414.198481	2.158184	-86.404249	-23.699970	0.158902
Method 1_00016 LC.hys	652.979494	10000.644469	187.041077	10176248.833136	693.486603	693.080222	51.949092	0.982744	18.275841	615.588157	1.449327	-86.394249	-23.699970	0.112278
Method 1_00017 LC.hys	688.260060	10001.254966	204.617720	11281395.338383	725.170271	724.918377	53.975498	0.886526	33.958984	658.654858	1.355699	-86.384249	-23.699970	0.034049
Method 1_00018 LC.hys	563.663230	10000.470735	174.899174	7639728.673902	607.047782	606.547097	56.063940	1.309009	19.256276	525.257819	1.421676	-86.374249	-23.699970	0.222734
Method 1_00019 LC.hys	826.348130	10000.958543	173.455267	16172115.422665	870.058528	869.591088	38.215444	0.618408	18.354406	787.235647	1.428362	-86.364248	-23.699970	0.221965
Method 1_00020 LC.hys	872.802015	10001.234613	219.340171	18020537.451291	907.181813	906.999700	45.779299	0.554991	4.531965	826.906334	1.756552	-86.404249	-23.689970	-0.027953
Method 1_00021 LC.hys	758.123982	10000.826372	199.497954	13643050.847830	796.110984	795.721459	47.853921	0.733034	30.753644	727.138357	1.368106	-86.394249	-23.689970	0.038974
Method 1_00022 LC.hys	682.396726	10001.067566	177.644369	11093668.609661	725.218746	724.620415	47.255099	0.901511	35.136084	650.685859	1.313266	-86.384249	-23.689970	0.005335
Method 1_00023 LC.hys	722.897383	10001.058887	183.373491	12423454.443975	764.116296	763.801846	46.094615	0.805014	9.185708	678.112106	1.571156	-86.374249	-23.689970	0.051276
Method 1_00024 LC.hys	839.106008	10000.465844	222.543363	16669547.054196	874.025325	872.808875	48.293377	0.599924	0.599559	777.042695	2.131113	-86.364248	-23.689970	0.044882
