Sat Jun 04 16:05:48 2022

Number of Points = 5609
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.168288	-0.022158	0.000000	-0.000026	0.293363

0.202984	-0.026951	0.005005	-0.000034	0.293369
0.217529	-0.054632	0.010010	-0.000037	0.293252
0.044292	-0.068440	0.015014	0.000001	0.293052
0.180935	-0.146706	0.020019	-0.000029	0.292798
0.100562	-0.203241	0.025024	-0.000012	0.292472
0.165475	-0.313615	0.030029	-0.000026	0.292012
0.151742	-0.392716	0.035034	-0.000023	0.291634
-0.025729	-0.488292	0.040038	0.000016	0.291048
0.148752	-0.622535	0.045043	-0.000022	0.290561
-0.104248	-0.715341	0.050048	0.000033	0.289925
0.069837	-0.879601	0.055053	-0.000005	0.289296
-0.088549	-1.023049	0.060058	0.000030	0.288496
-0.072421	-1.184041	0.065062	0.000026	0.287751
-0.241000	-1.338692	0.070067	0.000063	0.286885
-0.074239	-1.550320	0.075072	0.000027	0.286019
-0.506228	-1.671877	0.080077	0.000121	0.285091
-0.239325	-1.911919	0.085082	0.000063	0.284165
-0.803594	-2.033289	0.090086	0.000186	0.283124
-0.494811	-2.295808	0.095091	0.000119	0.282118
-2.101517	-2.234771	0.100096	0.000470	0.281089
-3.046709	-2.197662	0.105101	0.000676	0.280488
-4.300402	-2.103281	0.110106	0.000950	0.279907
-4.110357	-2.212658	0.115110	0.000908	0.279534
-5.462071	-2.065998	0.120115	0.001203	0.279124
-5.264152	-2.150111	0.125120	0.001160	0.278880
-5.982235	-2.089782	0.130125	0.001317	0.278577
-5.989511	-2.134890	0.135130	0.001318	0.278351
-6.673858	-2.065002	0.140134	0.001468	0.278121
-6.290339	-2.180347	0.145139	0.001384	0.277879
-7.533320	-2.043740	0.150144	0.001655	0.277508
-7.042511	-2.145499	0.155149	0.001548	0.277421
-7.915320	-2.045437	0.160154	0.001738	0.277181
-7.487500	-2.157364	0.165158	0.001645	0.276991
-8.583872	-1.994382	0.170163	0.001884	0.276871
-8.169082	-2.128461	0.175168	0.001794	0.276562
-8.868296	-2.037814	0.180173	0.001946	0.276420
-9.037223	-2.045892	0.185178	0.001983	0.276239
-9.088806	-2.098658	0.190182	0.001994	0.275937
-9.294194	-2.100634	0.195187	0.002039	0.275755
-10.095511	-1.992315	0.200192	0.002214	0.275613
-9.574087	-2.126605	0.205197	0.002100	0.275392
-10.388936	-2.036586	0.210202	0.002278	0.275149
-10.516892	-2.071652	0.215206	0.002306	0.274868
-10.893102	-2.035116	0.220211	0.002388	0.274731
-10.981013	-2.066586	0.225216	0.002407	0.274501
-11.384955	-2.020032	0.230221	0.002495	0.274390
-11.524483	-2.056343	0.235226	0.002526	0.274093
-11.649358	-2.065796	0.240230	0.002553	0.273940
-12.342745	-2.002882	0.245235	0.002704	0.273665
-12.298803	-2.051776	0.250240	0.002695	0.273460
-12.605594	-2.043123	0.255245	0.002762	0.273243
-12.855992	-2.028167	0.260250	0.002816	0.273104
-13.116695	-2.036483	0.265254	0.002873	0.272842
-12.935541	-2.114535	0.270259	0.002833	0.272608
-14.172709	-1.979360	0.275264	0.003103	0.272228
-13.524895	-2.110443	0.280269	0.002962	0.272127
-14.472690	-1.996060	0.285274	0.003169	0.271889
-13.854634	-2.147423	0.290278	0.003034	0.271661
-14.676662	-2.060159	0.295283	0.003213	0.271395
-14.987238	-2.055627	0.300288	0.003281	0.271152
-15.561996	-1.997124	0.305293	0.003406	0.270953
