Wed Jun 08 15:04:11 2022

Number of Points = 5610
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.025192	0.037796	0.000000	0.000007	0.364643

0.146185	-0.021206	0.005005	-0.000022	0.364520
0.483942	-0.094431	0.010010	-0.000099	0.364475
0.446991	-0.181728	0.015014	-0.000094	0.364163
0.193239	-0.233532	0.020019	-0.000042	0.363845
0.062814	-0.312285	0.025024	-0.000016	0.363507
0.063173	-0.423281	0.030029	-0.000020	0.363134
-0.045492	-0.518582	0.035034	0.000001	0.362751
0.121664	-0.701771	0.040038	-0.000039	0.362227
0.450133	-0.933503	0.045043	-0.000113	0.361629
0.336894	-1.123006	0.050048	-0.000092	0.360915
0.123529	-1.298943	0.055053	-0.000048	0.360189
-0.239118	-1.436338	0.060058	0.000028	0.359506
-0.220813	-1.661399	0.065062	0.000021	0.358743
-0.192367	-1.899460	0.070067	0.000012	0.357939
-0.034031	-2.186521	0.075072	-0.000026	0.357039
0.030058	-2.484783	0.080077	-0.000043	0.356041
-0.156496	-2.745988	0.085082	-0.000005	0.355020
-0.222542	-3.039815	0.090086	0.000006	0.353954
-0.500525	-3.306246	0.095091	0.000064	0.352854
-0.560189	-3.611217	0.100096	0.000074	0.351746
-0.527177	-3.950680	0.105101	0.000064	0.350567
-0.350507	-4.330698	0.110106	0.000023	0.349327
-0.580808	-4.666520	0.115110	0.000070	0.347993
-0.765223	-5.014758	0.120115	0.000107	0.346637
-10.390667	-3.563308	0.125120	0.002205	0.345964
-7.522867	-3.766211	0.130125	0.001575	0.347004
-10.703661	-3.148273	0.135130	0.002266	0.347286
-6.525220	-3.763410	0.140134	0.001351	0.347643
-8.501021	-3.420079	0.145139	0.001779	0.347676
-7.233864	-3.684715	0.150144	0.001500	0.347510
-7.681468	-3.569341	0.155149	0.001594	0.347659
-8.988944	-3.422197	0.160154	0.001876	0.347396
-8.314038	-3.473233	0.165158	0.001726	0.347635
-9.515570	-3.318854	0.170163	0.001985	0.347463
-7.349086	-3.689676	0.175168	0.001509	0.347466
-8.605807	-3.591844	0.180173	0.001780	0.347056
-7.671806	-3.869837	0.185178	0.001573	0.346637
-9.961783	-3.539769	0.190182	0.002070	0.346429
-9.536309	-3.664451	0.195187	0.001974	0.346250
-10.938821	-3.434283	0.200192	0.002276	0.346227
-10.116222	-3.604875	0.205197	0.002094	0.346127
-10.374900	-3.564747	0.210202	0.002147	0.346121
-10.462335	-3.641507	0.215206	0.002163	0.345799
-9.949780	-3.797463	0.220211	0.002048	0.345560
-12.512846	-3.439639	0.225216	0.002604	0.345284
-11.937748	-3.482279	0.230221	0.002476	0.345493
-12.716351	-3.349462	0.235226	0.002642	0.345502
-13.256712	-3.260025	0.240230	0.002757	0.345502
-12.305485	-3.425338	0.245235	0.002546	0.345499
-10.833073	-3.737232	0.250240	0.002222	0.345288
-12.644477	-3.599895	0.255245	0.002614	0.344676
-12.844966	-3.590095	0.260250	0.002655	0.344597
-13.692650	-3.454177	0.265254	0.002836	0.344575
-13.889229	-3.502584	0.270259	0.002876	0.344287
-14.040556	-3.478621	0.275264	0.002906	0.344289
-13.547316	-3.641759	0.280269	0.002795	0.344011
-12.948796	-3.833185	0.285274	0.002662	0.343695
-15.214782	-3.549422	0.290278	0.003153	0.343331
-14.653490	-3.684662	0.295283	0.003027	0.343196
-16.187118	-3.416449	0.300288	0.003359	0.343230
-16.183280	-3.457192	0.305293	0.003355	0.343093
-16.127857	-3.411568	0.310298	0.003339	0.343303
-16.425171	-3.441231	0.315302	0.003401	0.343019
-15.779740	-3.562323	0.320307	0.003257	0.342988
-16.234879	-3.564281	0.325312	0.003353	0.342707
-16.531036	-3.571964	0.330317	0.003415	0.342504
-17.563360	-3.424477	0.335322	0.003637	0.342410
