Number of Data Points = 22
        
File	hc(nm)	Pmax(µN)	S(µN/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
Method 2_00000 LC.hys	140.542898	10001.047870	172.777412	603738.080170	185.470404	183.955899	197.014190	16.565210	0.521517	64.591753	2.062127	-85.880730	-24.047960	2.911410
Method 2_00001 LC.hys	183.831780	10001.188424	173.573152	957722.987962	227.645773	227.046363	157.143862	10.442673	2.330858	123.236812	1.801641	-85.870729	-24.047960	0.730998
Method 2_00002 LC.hys	286.591003	10000.904723	183.214676	2122859.464041	327.528781	327.530292	111.412640	4.711054	3.002049	230.708769	1.773752	-85.860729	-24.047960	-0.543682
Method 2_00003 LC.hys	163.598195	10000.837048	159.676655	782357.641217	212.104107	210.572048	159.946076	12.782948	18.555356	122.585291	1.404826	-85.850729	-24.047960	-0.463611
Method 2_00004 LC.hys	155.244337	10000.667275	201.374865	715040.242864	193.226740	192.490795	210.996305	13.986160	0.160994	77.065930	2.324212	-85.840729	-24.047960	-0.777126
Method 2_00005 LC.hys	159.612821	10000.929274	187.575254	749873.282547	200.768004	199.600489	191.918319	13.336826	0.251850	81.314502	2.218546	-85.880730	-24.037960	-1.077242
Method 2_00006 LC.hys	154.798726	10000.866229	150.121470	711532.503679	205.152297	204.762597	157.681327	14.055389	2.273921	87.470592	1.760652	-85.870729	-24.037960	-0.826494
Method 2_00008 LC.hys	139.612473	10000.761266	138.297163	597000.213412	194.663173	193.847649	158.584543	16.751688	49.449834	107.687810	1.191475	-85.850729	-24.037960	-0.591721
Method 2_00009 LC.hys	212.788687	10000.812290	156.911223	1239311.753852	260.742278	260.590298	124.881628	8.069650	42.559840	181.073213	1.247611	-85.840729	-24.037960	-0.721019
Method 2_00010 LC.hys	214.154525	10000.226032	154.692436	1253490.864502	261.068414	262.638922	122.417448	7.977901	21.512817	174.085911	1.369817	-85.880730	-24.027959	-0.565984
Method 2_00011 LC.hys	209.628810	10000.799206	172.190891	1206819.212549	253.751389	253.188602	138.874943	8.286908	11.061721	164.944211	1.519367	-85.870729	-24.027959	-0.530368
Method 2_00012 LC.hys	201.661135	10001.142608	162.104150	1126813.120091	249.036467	247.932973	135.301625	8.875600	14.697451	158.397719	1.451238	-85.860729	-24.027959	-0.391018
Method 2_00013 LC.hys	206.094404	10000.658796	147.396177	1170989.301324	257.182897	256.981030	120.682580	8.540350	40.888004	172.805994	1.240626	-85.850729	-24.027959	-0.133448
Method 2_00015 LC.hys	181.157401	10000.453191	169.879225	933539.649993	225.759842	225.308414	155.778930	10.712403	1.294235	113.563416	1.898229	-85.880730	-24.017959	-0.231924
Method 2_00016 LC.hys	196.572816	10000.346871	137.681374	1077158.109011	249.569668	251.048304	117.535834	9.284010	94.206912	173.233974	1.071321	-85.870729	-24.017959	-0.228285
Method 2_00017 LC.hys	143.206975	10000.764057	162.087107	623231.760301	189.101160	189.481927	181.910812	16.046621	7.828460	92.917796	1.565060	-85.860729	-24.017959	-0.161244
Method 2_00018 LC.hys	130.992054	10000.722666	195.857057	536300.188193	170.475974	169.288055	236.957293	18.647621	16.284105	93.533982	1.483590	-85.850729	-24.017959	-0.006604
Method 2_00019 LC.hys	176.986229	10000.941126	160.900405	896433.471049	223.672908	223.603301	150.568088	11.156367	14.705875	133.528607	1.449169	-85.840729	-24.017959	0.044930
Method 2_00020 LC.hys	143.535106	10000.857391	160.718825	625653.418080	189.846814	190.204456	180.025766	15.984660	14.743758	100.076315	1.448405	-85.880730	-24.007961	0.042823
Method 2_00021 LC.hys	195.146195	10000.601616	145.383121	1063437.069111	245.583838	246.737130	124.908766	9.404037	44.905569	162.798311	1.220255	-85.870729	-24.007961	0.025563
Method 2_00023 LC.hys	196.050402	10000.656026	167.812838	1072123.409052	241.345833	240.745981	143.594439	9.327896	8.608145	147.914936	1.557722	-85.850729	-24.007961	-0.033116
Method 2_00024 LC.hys	173.223147	10000.996018	142.215017	863596.480379	225.738947	225.965446	135.589124	11.580635	20.240797	130.321716	1.360062	-85.840729	-24.007961	0.002647
