Wed Jun 08 15:39:12 2022

Number of Points = 5608
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-1.177020	0.122181	0.000000	0.000176	0.265453

-1.337892	0.166929	0.005005	0.000212	0.265532
-0.726170	0.061858	0.010010	0.000079	0.265528
-0.457097	0.015849	0.015014	0.000021	0.265525
-0.977116	0.058980	0.020019	0.000135	0.265307
-0.917238	0.039250	0.025024	0.000123	0.265260
-0.973816	-0.019512	0.030029	0.000136	0.264934
-1.077808	-0.055135	0.035034	0.000159	0.264678
-1.497170	-0.046968	0.040038	0.000251	0.264375
-1.396650	-0.119263	0.045043	0.000230	0.264111
-0.741647	-0.328617	0.050048	0.000088	0.263646
-0.902705	-0.426588	0.055053	0.000124	0.263046
-1.120506	-0.518712	0.060058	0.000172	0.262426
-1.329712	-0.610703	0.065062	0.000218	0.261813
-1.055642	-0.794396	0.070067	0.000159	0.261154
-1.480817	-0.868784	0.075072	0.000253	0.260445
-1.770397	-0.962825	0.080077	0.000317	0.259750
-1.696815	-1.125884	0.085082	0.000301	0.259020
-1.545360	-1.328014	0.090086	0.000269	0.258163
-1.856204	-1.454459	0.095091	0.000338	0.257287
-2.594379	-1.496625	0.100096	0.000499	0.256463
-2.686240	-1.635149	0.105101	0.000520	0.255705
-3.235859	-1.686605	0.110106	0.000641	0.254988
-3.196707	-1.867282	0.115110	0.000633	0.254129
-3.280143	-2.000423	0.120115	0.000652	0.253398
-4.569469	-1.955941	0.125120	0.000934	0.252523
-6.038844	-1.775938	0.130125	0.001255	0.252166
-6.467010	-1.782637	0.135130	0.001349	0.251766
-5.627076	-1.986919	0.140134	0.001167	0.251461
-7.245244	-1.809365	0.145139	0.001521	0.250963
-6.657038	-1.952559	0.150144	0.001393	0.250748
-7.163290	-1.917437	0.155149	0.001504	0.250488
-6.908499	-2.077257	0.160154	0.001449	0.249903
-7.707373	-2.007415	0.165158	0.001624	0.249565
-8.737838	-1.869222	0.170163	0.001850	0.249371
-9.758151	-1.755416	0.175168	0.002073	0.249063
-8.854259	-1.906584	0.180173	0.001876	0.249078
-10.307843	-1.673754	0.185178	0.002194	0.248996
-8.134549	-2.113524	0.190182	0.001721	0.248650
-9.233322	-1.999033	0.195187	0.001961	0.248277
-10.066758	-1.938991	0.200192	0.002144	0.247857
-10.624171	-1.850326	0.205197	0.002266	0.247821
-11.348968	-1.790273	0.210202	0.002425	0.247495
-10.980710	-1.851993	0.215206	0.002345	0.247499
-11.473388	-1.803595	0.220211	0.002453	0.247314
-11.151728	-1.900018	0.225216	0.002383	0.247102
-11.679530	-1.866400	0.230221	0.002499	0.246811
-11.697953	-1.912268	0.235226	0.002504	0.246560
-12.991898	-1.723701	0.240230	0.002787	0.246390
-12.408459	-1.850657	0.245235	0.002660	0.246250
-12.915299	-1.778569	0.250240	0.002772	0.246173
-12.845443	-1.852782	0.255245	0.002757	0.245853
-11.975069	-2.066157	0.260250	0.002568	0.245521
-13.799110	-1.835146	0.265254	0.002966	0.245104
-14.005168	-1.812819	0.270259	0.003012	0.245035
-13.731989	-1.911468	0.275264	0.002953	0.244767
-14.525441	-1.812014	0.280269	0.003127	0.244579
-15.030770	-1.759597	0.285274	0.003238	0.244401
-13.372598	-2.100441	0.290278	0.002877	0.244105
-14.796900	-1.962332	0.295283	0.003188	0.243560
-14.842802	-2.001267	0.300288	0.003199	0.243316
-15.559951	-1.925835	0.305293	0.003356	0.243070
-15.831612	-1.953551	0.310298	0.003416	0.242684
-15.154545	-2.113821	0.315302	0.003269	0.242452
-16.064798	-2.047289	0.320307	0.003468	0.241987
-14.706404	-2.362463	0.325312	0.003172	0.241555
-16.927870	-2.080222	0.330317	0.003658	0.241044
-17.240809	-2.054810	0.335322	0.003727	0.240895
-17.582853	-2.045135	0.340326	0.003802	0.240638
-18.210014	-1.957402	0.345331	0.003939	0.240533
-19.342400	-1.783358	0.350336	0.004187	0.240428
-18.794983	-1.846954	0.355341	0.004068	0.240582
-19.937425	-1.667206	0.360346	0.004318	0.240498
-18.877014	-1.849145	0.365350	0.004087	0.240493
