Wed Jun 08 16:03:45 2022

Number of Points = 5627
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.570665	0.133384	0.000000	0.000143	0.274080

-0.749206	0.211728	0.005005	0.000182	0.274298
-0.779940	0.215654	0.010010	0.000189	0.274291
-0.537644	0.175222	0.015014	0.000137	0.274295
-0.459052	0.160480	0.020019	0.000120	0.274288
-0.279379	0.064506	0.025024	0.000081	0.273989
-0.255814	0.007499	0.030029	0.000076	0.273746
-0.404468	-0.042622	0.035034	0.000108	0.273399
-0.544667	-0.101703	0.040038	0.000139	0.273018
-0.667074	-0.168155	0.045043	0.000166	0.272616
-0.702059	-0.252491	0.050048	0.000174	0.272199
-0.532288	-0.401423	0.055053	0.000137	0.271646
-0.534864	-0.529230	0.060058	0.000138	0.271053
-0.657185	-0.640648	0.065062	0.000165	0.270439
-0.467842	-0.834965	0.070067	0.000124	0.269687
-0.491697	-0.998925	0.075072	0.000130	0.268904
-0.399250	-1.200721	0.080077	0.000110	0.268035
-0.557339	-1.379144	0.085082	0.000145	0.267072
-0.734227	-1.555115	0.090086	0.000183	0.266101
-0.974212	-1.713685	0.095091	0.000236	0.265159
-1.160633	-1.887273	0.100096	0.000277	0.264185
-1.193293	-2.095863	0.105101	0.000285	0.263166
-1.195195	-2.323644	0.110106	0.000285	0.262076
-1.168145	-2.563081	0.115110	0.000280	0.260950
-1.037454	-2.830381	0.120115	0.000252	0.259770
-1.146356	-3.084337	0.125120	0.000276	0.258450
-1.047936	-3.377096	0.130125	0.000255	0.257108
-1.094908	-3.659215	0.135130	0.000265	0.255688
-1.134393	-3.948091	0.140134	0.000274	0.254234
-1.368575	-4.214968	0.145139	0.000326	0.252715
-1.599717	-4.482386	0.150144	0.000377	0.251187
-1.559334	-4.789165	0.155149	0.000368	0.249685
-1.584773	-5.109091	0.160154	0.000374	0.248051
-1.435068	-5.468104	0.165158	0.000342	0.246360
-1.337647	-5.826692	0.170163	0.000321	0.244613
-1.414445	-6.179783	0.175168	0.000338	0.242728
-1.372714	-6.549805	0.180173	0.000330	0.240846
-1.472270	-6.908902	0.185178	0.000352	0.238879
-1.580401	-7.270365	0.190182	0.000376	0.236876
-1.854457	-7.604834	0.195187	0.000436	0.234848
-32.957180	-2.353966	0.200192	0.007223	0.234462
-33.348808	-0.777403	0.205197	0.007308	0.242406
-33.669680	0.125912	0.210202	0.007378	0.246758
-17.996186	-1.868993	0.215206	0.003957	0.250222
-19.111728	-1.222233	0.220211	0.004200	0.252496
-13.333265	-2.067461	0.225216	0.002939	0.253205
-14.866238	-1.679283	0.230221	0.003274	0.253828
-13.839642	-1.749700	0.235226	0.003050	0.254346
-13.999766	-1.654053	0.240230	0.003085	0.254682
-14.430287	-1.505627	0.245235	0.003179	0.255049
-13.948937	-1.533018	0.250240	0.003074	0.255319
-12.832803	-1.721054	0.255245	0.002831	0.255332
-13.095123	-1.695166	0.260250	0.002888	0.255238
-13.644148	-1.650251	0.265254	0.003008	0.254997
-13.521519	-1.670495	0.270259	0.002982	0.255000
-13.416016	-1.744143	0.275264	0.002959	0.254725
-13.755172	-1.738969	0.280269	0.003033	0.254464
-13.878019	-1.769149	0.285274	0.003060	0.254211
-13.970821	-1.813101	0.290278	0.003081	0.253915
-14.192651	-1.841907	0.295283	0.003129	0.253585
-14.375506	-1.878094	0.300288	0.003169	0.253250
-15.651595	-1.722787	0.305293	0.003448	0.252937
-17.958031	-1.281937	0.310298	0.003952	0.253167
-16.098160	-1.586675	0.315302	0.003546	0.253232
-16.786649	-1.474003	0.320307	0.003696	0.253206
-15.293793	-1.772917	0.325312	0.003371	0.252990
-16.045950	-1.719642	0.330317	0.003535	0.252615
-16.053609	-1.786505	0.335322	0.003537	0.252276
-17.633505	-1.594051	0.340326	0.003882	0.251888
-17.635240	-1.600473	0.345331	0.003883	0.251854
-17.929294	-1.552444	0.350336	0.003947	0.251842
-18.533353	-1.506948	0.355341	0.004079	0.251553
-18.022129	-1.596546	0.360346	0.003968	0.251542
-18.452990	-1.576348	0.365350	0.004062	0.251274
-19.273657	-1.445983	0.370355	0.004241	0.251223
-18.850575	-1.563246	0.375360	0.004149	0.250998
-19.094863	-1.538614	0.380365	0.004202	0.250912
-19.666868	-1.502993	0.385370	0.004328	0.250600
-19.157566	-1.615427	0.390374	0.004217	0.250473
-19.929894	-1.536139	0.395379	0.004385	0.250207
-20.425688	-1.489875	0.400384	0.004494	0.250013
-19.372347	-1.734776	0.405389	0.004264	0.249688
-20.940877	-1.527563	0.410394	0.004607	0.249380
-20.830155	-1.601758	0.415398	0.004583	0.249101
-21.640963	-1.490489	0.420403	0.004760	0.248962
-20.906181	-1.668938	0.425408	0.004600	0.248696
-20.887365	-1.747805	0.430413	0.004596	0.248313
-21.318702	-1.751100	0.435418	0.004690	0.247923
-22.125103	-1.687242	0.440422	0.004866	0.247547
-23.315256	-1.519087	0.445427	0.005126	0.247366
-22.705998	-1.629215	0.450432	0.004993	0.247336
-23.968882	-1.440885	0.455437	0.005269	0.247194
-22.677458	-1.706374	0.460442	0.004988	0.246968
-23.140775	-1.687362	0.465446	0.005089	0.246661
-23.622307	-1.680444	0.470451	0.005194	0.246276
-23.368775	-1.791952	0.475456	0.005139	0.245928
-24.312591	-1.688335	0.480461	0.005345	0.245632
-24.657644	-1.674132	0.485466	0.005421	0.245402
-24.830270	-1.676056	0.490470	0.005459	0.245241
-25.790422	-1.551387	0.495475	0.005668	0.245037
-26.108439	-1.497809	0.500480	0.005738	0.245032
-26.155131	-1.498840	0.505485	0.005748	0.244985
-27.408135	-1.306913	0.510490	0.006022	0.244870
-26.099591	-1.522955	0.515494	0.005737	0.244909
-27.090371	-1.389807	0.520499	0.005953	0.244722
-25.461292	-1.727208	0.525504	0.005598	0.244420
-26.760958	-1.586288	0.530509	0.005882	0.244001
-26.311483	-1.742403	0.535514	0.005784	0.243593
-27.181962	-1.659592	0.540518	0.005974	0.243251
-28.243227	-1.544807	0.545523	0.006206	0.242906
-27.541897	-1.684027	0.550528	0.006053	0.242806
-28.977523	-1.493788	0.555533	0.006366	0.242519
-27.972071	-1.696334	0.560538	0.006147	0.242360
-28.850086	-1.593627	0.565542	0.006339	0.242113
-29.638576	-1.501319	0.570547	0.006511	0.241892
-29.189890	-1.596223	0.575552	0.006414	0.241797
-30.535305	-1.405615	0.580557	0.006707	0.241591
-28.732658	-1.767085	0.585562	0.006314	0.241315
-30.614541	-1.487617	0.590566	0.006725	0.241093
-29.443577	-1.759152	0.595571	0.006470	0.240721
-29.922242	-1.747290	0.600576	0.006574	0.240355
-31.293724	-1.567170	0.605581	0.006874	0.240069
-31.158450	-1.633801	0.610586	0.006845	0.239841
-32.534608	-1.414141	0.615590	0.007145	0.239758
-31.919597	-1.539483	0.620595	0.007011	0.239652
-32.105243	-1.550626	0.625600	0.007052	0.239426
-32.649437	-1.467577	0.630605	0.007171	0.239373
-32.941692	-1.465416	0.635610	0.007235	0.239121
-33.260257	-1.409949	0.640614	0.007304	0.239126
-32.610241	-1.571379	0.645619	0.007163	0.238861
-32.739349	-1.606853	0.650624	0.007191	0.238558
-33.755549	-1.502809	0.655629	0.007413	0.238189
-33.785639	-1.527292	0.660634	0.007420	0.238033
-33.711272	-1.591837	0.665638	0.007404	0.237759
-34.412529	-1.512596	0.670643	0.007557	0.237543
-33.834308	-1.689543	0.675648	0.007431	0.237130
-34.924974	-1.549650	0.680653	0.007669	0.236881
-35.652928	-1.474332	0.685658	0.007828	0.236619
-35.511548	-1.510797	0.690662	0.007798	0.236554
-35.631678	-1.538422	0.695667	0.007824	0.236297
-36.381387	-1.459932	0.700672	0.007988	0.236032
-36.769659	-1.401279	0.705677	0.008073	0.235990
-36.532998	-1.448759	0.710682	0.008021	0.235952
-36.916842	-1.435699	0.715686	0.008105	0.235671
-36.830975	-1.470995	0.720691	0.008087	0.235560
-37.893427	-1.317976	0.725696	0.008319	0.235406
-36.020473	-1.703935	0.730701	0.007910	0.235056
-37.653855	-1.492957	0.735706	0.008267	0.234689
-36.320551	-1.831710	0.740710	0.007976	0.234097
-37.643215	-1.690710	0.745715	0.008265	0.233638
-38.077243	-1.688609	0.750720	0.008360	0.233249
-38.453133	-1.678866	0.755725	0.008442	0.232955
-39.331483	-1.593207	0.760730	0.008634	0.232605
-39.238396	-1.632954	0.765734	0.008614	0.232476
-40.686987	-1.423626	0.770739	0.008931	0.232267
-39.618150	-1.628074	0.775744	0.008697	0.232150
-41.042575	-1.419324	0.780749	0.009008	0.231959
-40.630523	-1.491044	0.785754	0.008919	0.231952
-39.809237	-1.666232	0.790758	0.008740	0.231764
-42.163430	-1.336108	0.795763	0.009254	0.231369
-40.789381	-1.573749	0.800768	0.008954	0.231354
-41.606759	-1.467736	0.805773	0.009133	0.231170
-41.917952	-1.485432	0.810778	0.009201	0.230784
-41.679264	-1.541437	0.815782	0.009149	0.230700
-42.457137	-1.452179	0.820787	0.009319	0.230461
-40.357619	-1.880548	0.825792	0.008861	0.230084
-43.441925	-1.449261	0.830797	0.009534	0.229555
-41.524787	-1.836178	0.835802	0.009116	0.229233
-43.112794	-1.633256	0.840806	0.009463	0.228855
-43.796273	-1.579156	0.845811	0.009612	0.228509
-44.262729	-1.492087	0.850816	0.009714	0.228548
-45.361049	-1.344923	0.855821	0.009954	0.228323
-44.032707	-1.563553	0.860826	0.009664	0.228370
-44.472492	-1.537979	0.865830	0.009760	0.228096
-45.182008	-1.450740	0.870835	0.009915	0.227907
-44.445690	-1.642688	0.875840	0.009755	0.227543
-45.533518	-1.497858	0.880845	0.009993	0.227314
-45.288711	-1.600821	0.885850	0.009939	0.226975
-45.381989	-1.639503	0.890854	0.009960	0.226672
-45.998200	-1.621776	0.895859	0.010095	0.226185
-45.472089	-1.750505	0.900864	0.009980	0.225969
-47.511839	-1.444242	0.905869	0.010425	0.225730
-45.921527	-1.759245	0.910874	0.010079	0.225492
-47.720528	-1.513425	0.915878	0.010471	0.225145
-48.352806	-1.404545	0.920883	0.010610	0.225147
-48.277464	-1.418596	0.925888	0.010593	0.225140
-48.403331	-1.447679	0.930893	0.010621	0.224857
-48.147839	-1.511258	0.935898	0.010565	0.224745
-48.063743	-1.589016	0.940902	0.010547	0.224390
-48.431526	-1.569973	0.945907	0.010628	0.224144
-49.000247	-1.551136	0.950912	0.010752	0.223703
-48.921792	-1.596639	0.955917	0.010735	0.223522
-49.297331	-1.593638	0.960922	0.010817	0.223177
-49.068649	-1.700219	0.965926	0.010768	0.222796
-50.114758	-1.564162	0.970931	0.010996	0.222553
-50.444838	-1.577545	0.975936	0.011068	0.222158
-51.087114	-1.471909	0.980941	0.011209	0.222132
-51.468326	-1.430436	0.985946	0.011292	0.221997
-50.853298	-1.567803	0.990950	0.011158	0.221815
-52.535779	-1.301415	0.995955	0.011525	0.221691
-51.233562	-1.565806	1.000960	0.011241	0.221456
-52.145592	-1.439347	1.005965	0.011441	0.221287
-52.505747	-1.417990	1.010970	0.011519	0.221057
-52.015557	-1.549905	1.015974	0.011413	0.220784
-52.799281	-1.464587	1.020979	0.011584	0.220505
-52.056613	-1.656775	1.025984	0.011422	0.220133
-52.980539	-1.549377	1.030989	0.011624	0.219843
-53.170746	-1.585132	1.035994	0.011666	0.219451
-53.037850	-1.673123	1.040998	0.011637	0.219077
-53.076017	-1.728079	1.046003	0.011645	0.218724
-54.121923	-1.626794	1.051008	0.011874	0.218276
-54.876504	-1.546103	1.056013	0.012039	0.217996
-55.510248	-1.439907	1.061018	0.012177	0.217982
-55.361570	-1.499463	1.066022	0.012145	0.217784
-55.554188	-1.488145	1.071027	0.012187	0.217659
-56.348861	-1.402367	1.076032	0.012361	0.217368
-56.183222	-1.434066	1.081037	0.012325	0.217348
-56.400551	-1.436295	1.086042	0.012372	0.217119
-56.828273	-1.379196	1.091046	0.012466	0.217025
-56.853958	-1.411663	1.096051	0.012472	0.216810
-56.370229	-1.533951	1.101056	0.012366	0.216581
-56.676939	-1.537078	1.106061	0.012434	0.216257
-57.239119	-1.508431	1.111066	0.012557	0.215864
-56.971982	-1.599117	1.116070	0.012498	0.215601
-58.613709	-1.387900	1.121075	0.012857	0.215193
-58.121044	-1.484167	1.126080	0.012750	0.215123
-58.145854	-1.532901	1.131085	0.012755	0.214812
-58.407809	-1.544190	1.136090	0.012813	0.214483
-59.473233	-1.401367	1.141094	0.013045	0.214250
-58.984255	-1.521190	1.146099	0.012939	0.214038
-59.392769	-1.494970	1.151104	0.013028	0.213780
-59.664491	-1.511905	1.156109	0.013088	0.213406
-59.558487	-1.562820	1.161114	0.013065	0.213213
-60.671503	-1.446346	1.166118	0.013308	0.212775
-59.354059	-1.710713	1.171123	0.013021	0.212545
-60.475563	-1.598033	1.176128	0.013266	0.212075
-60.293448	-1.702546	1.181133	0.013226	0.211639
-60.818752	-1.668642	1.186138	0.013341	0.211306
-60.819261	-1.746253	1.191142	0.013341	0.210843
-62.060849	-1.582187	1.196147	0.013612	0.210552
-62.539810	-1.543234	1.201152	0.013717	0.210295
-62.554391	-1.553258	1.206157	0.013720	0.210219
-63.369714	-1.462530	1.211162	0.013899	0.209926
-62.382120	-1.647875	1.216166	0.013683	0.209828
-64.190486	-1.378711	1.221171	0.014078	0.209584
-62.525046	-1.703075	1.226176	0.013715	0.209349
-64.175809	-1.465370	1.231181	0.014075	0.209078
-63.730683	-1.598908	1.236186	0.013978	0.208733
-64.069003	-1.571007	1.241190	0.014052	0.208551
-64.781720	-1.485289	1.246195	0.014208	0.208331
-63.663514	-1.752573	1.251200	0.013964	0.207873
-64.915583	-1.586005	1.256205	0.014238	0.207583
-65.519524	-1.554235	1.261210	0.014370	0.207148
-65.486190	-1.580709	1.266214	0.014363	0.207021
-66.555830	-1.438016	1.271219	0.014596	0.206774
-65.648385	-1.626036	1.276224	0.014398	0.206575
-66.270329	-1.551475	1.281229	0.014534	0.206380
-66.918613	-1.489118	1.286234	0.014676	0.206083
-68.124921	-1.308631	1.291238	0.014939	0.205923
-67.463739	-1.413695	1.296243	0.014795	0.205972
-67.237578	-1.483827	1.301248	0.014746	0.205779
-67.269445	-1.540411	1.306253	0.014753	0.205399
-67.256231	-1.595772	1.311258	0.014751	0.205074
-67.167499	-1.681765	1.316262	0.014732	0.204639
-67.544931	-1.708113	1.321267	0.014814	0.204079
-69.002547	-1.519237	1.326272	0.015132	0.203703
-68.852078	-1.566419	1.331277	0.015100	0.203570
-68.541745	-1.680367	1.336282	0.015032	0.203194
-69.447809	-1.590072	1.341286	0.015230	0.202792
-68.988706	-1.724307	1.346291	0.015130	0.202446
-70.360425	-1.546545	1.351296	0.015430	0.202090
-71.139545	-1.412580	1.356301	0.015600	0.202092
-70.635865	-1.517541	1.361306	0.015490	0.201975
-71.390417	-1.418426	1.366310	0.015655	0.201787
-71.056813	-1.517375	1.371315	0.015583	0.201526
-71.114549	-1.547674	1.376320	0.015595	0.201274
-70.817221	-1.653990	1.381325	0.015531	0.200927
-71.653155	-1.583892	1.386330	0.015713	0.200469
-72.230886	-1.517062	1.391334	0.015840	0.200267
-72.961921	-1.403078	1.396339	0.015999	0.200195
-72.252288	-1.592866	1.401344	0.015845	0.199766
-72.642851	-1.552556	1.406349	0.015930	0.199598
-72.446882	-1.666297	1.411354	0.015888	0.199092
-71.765778	-1.847862	1.416358	0.015739	0.198681
-73.843956	-1.582531	1.421363	0.016193	0.198106
-73.395961	-1.698553	1.426368	0.016095	0.197856
-74.820436	-1.513828	1.431373	0.016406	0.197478
-74.898230	-1.506598	1.436378	0.016424	0.197438
-75.627378	-1.396068	1.441382	0.016583	0.197346
-75.456581	-1.440218	1.446387	0.016546	0.197250
-75.780182	-1.406019	1.451392	0.016617	0.197114
-75.069495	-1.574585	1.456397	0.016462	0.196815
-75.796333	-1.500611	1.461402	0.016621	0.196491
-75.585395	-1.580293	1.466406	0.016575	0.196211
-75.515129	-1.668142	1.471411	0.016560	0.195724
-75.971029	-1.623517	1.476416	0.016659	0.195509
-76.366810	-1.638987	1.481421	0.016746	0.194972
-75.600913	-1.845903	1.486426	0.016579	0.194483
-77.539294	-1.584907	1.491430	0.017002	0.194022
-78.010198	-1.539970	1.496435	0.017105	0.193789
-78.187194	-1.521469	1.501440	0.017144	0.193712
-78.675728	-1.482548	1.506445	0.017251	0.193420
-78.965246	-1.434787	1.511450	0.017314	0.193407
-78.393071	-1.568630	1.516454	0.017190	0.193174
-79.373871	-1.450515	1.521459	0.017404	0.192848
-80.341607	-1.296311	1.526464	0.017615	0.192771
-79.238760	-1.495842	1.531469	0.017375	0.192701
-79.613654	-1.472831	1.536474	0.017457	0.192432
-79.103685	-1.635729	1.541478	0.017346	0.191937
-79.430905	-1.635563	1.546483	0.017417	0.191570
-80.174494	-1.583991	1.551488	0.017580	0.191071
-80.249824	-1.615986	1.556493	0.017596	0.190774
-81.422495	-1.474979	1.561498	0.017852	0.190378
-80.791674	-1.611518	1.566502	0.017715	0.190190
-81.844976	-1.482586	1.571507	0.017945	0.189848
-81.544358	-1.575499	1.576512	0.017880	0.189573
-82.183170	-1.501060	1.581517	0.018019	0.189340
-82.831720	-1.437735	1.586522	0.018161	0.189021
-83.194257	-1.377892	1.591526	0.018240	0.189005
-83.516926	-1.352023	1.596531	0.018311	0.188808
-82.946198	-1.473699	1.601536	0.018187	0.188649
-83.453105	-1.425628	1.606541	0.018297	0.188389
-83.011544	-1.555493	1.611546	0.018201	0.188026
-82.848953	-1.648979	1.616550	0.018166	0.187586
-82.535662	-1.794521	1.621555	0.018098	0.186969
-83.469616	-1.729378	1.626560	0.018302	0.186329
-84.294346	-1.645292	1.631565	0.018482	0.185942
-84.773934	-1.609216	1.636570	0.018587	0.185629
-85.918081	-1.462615	1.641574	0.018837	0.185293
-86.259077	-1.403833	1.646579	0.018911	0.185294
-86.831406	-1.306736	1.651584	0.019037	0.185287
-86.336068	-1.402214	1.656589	0.018929	0.185214
-87.243798	-1.280628	1.661594	0.019127	0.184982
-86.420961	-1.443666	1.666598	0.018948	0.184832
-87.098759	-1.352442	1.671603	0.019096	0.184661
-86.492991	-1.513952	1.676608	0.018964	0.184267
-86.166397	-1.628149	1.681613	0.018893	0.183869
-86.221409	-1.703971	1.686618	0.018905	0.183284
-87.108000	-1.645045	1.691622	0.019099	0.182644
-87.219184	-1.671901	1.696627	0.019123	0.182327
-88.820812	-1.466145	1.701632	0.019473	0.181852
-87.402677	-1.756543	1.706637	0.019164	0.181524
-90.166342	-1.307749	1.711642	0.019767	0.181350
-88.463832	-1.650656	1.716646	0.019395	0.180995
-88.934398	-1.592868	1.721651	0.019498	0.180835
-91.100740	-1.282753	1.726656	0.019971	0.180409
-89.033917	-1.643560	1.731661	0.019520	0.180362
-91.324566	-1.300865	1.736666	0.020021	0.180013
-89.665687	-1.617361	1.741670	0.019659	0.179787
-90.169611	-1.562755	1.746675	0.019769	0.179564
-90.569397	-1.593530	1.751680	0.019856	0.178867
-89.735016	-1.781641	1.756685	0.019675	0.178548
-92.853474	-1.305645	1.761690	0.020355	0.178135
-91.267533	-1.604432	1.766694	0.020009	0.177944
-92.283135	-1.457673	1.771699	0.020231	0.177750
-92.148391	-1.531499	1.776704	0.020202	0.177390
-92.014673	-1.599049	1.781709	0.020173	0.177072
-92.767009	-1.530237	1.786714	0.020337	0.176644
-92.603115	-1.595489	1.791718	0.020302	0.176378
-94.635903	-1.266230	1.796723	0.020746	0.176241
-93.607580	-1.471713	1.801728	0.020521	0.176031
-94.463376	-1.340060	1.806733	0.020708	0.175923
-94.279861	-1.406321	1.811738	0.020669	0.175673
-92.254409	-1.817058	1.816742	0.020227	0.175217
-94.187427	-1.563255	1.821747	0.020649	0.174659
-94.700461	-1.547598	1.826752	0.020761	0.174137
-94.281568	-1.656267	1.831757	0.020670	0.173869
-96.326506	-1.362205	1.836762	0.021116	0.173460
-94.798968	-1.671166	1.841766	0.020783	0.173117
-96.103726	-1.471945	1.846771	0.021068	0.172938
-96.061379	-1.555713	1.851776	0.021059	0.172380
-95.762933	-1.636837	1.856781	0.020994	0.172161
-97.627525	-1.353227	1.861786	0.021401	0.171897
-97.008941	-1.481557	1.866790	0.021266	0.171732
-98.885798	-1.181284	1.871795	0.021676	0.171574
-97.610417	-1.410375	1.876800	0.021398	0.171497
-98.264173	-1.330075	1.881805	0.021541	0.171262
-97.456230	-1.498834	1.886810	0.021365	0.171039
-97.774038	-1.500653	1.891814	0.021434	0.170624
-97.980492	-1.522896	1.896819	0.021480	0.170198
-98.057176	-1.568068	1.901824	0.021497	0.169765
-98.278666	-1.594131	1.906829	0.021545	0.169290
-98.319162	-1.661434	1.911834	0.021554	0.168736
