Thu Jun 09 12:11:23 2022

Number of Points = 5608
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.499073	0.084594	0.000000	0.000126	0.283557

-0.728100	0.137061	0.005005	0.000176	0.283616
-0.917239	0.170937	0.010010	0.000218	0.283623
-0.681168	0.129917	0.015014	0.000166	0.283620
-0.408038	0.082794	0.020019	0.000106	0.283618
-0.978389	0.162869	0.025024	0.000231	0.283542
-0.899403	0.097198	0.030029	0.000214	0.283311
-0.429978	-0.018871	0.035034	0.000111	0.283152
-0.785460	-0.040940	0.040038	0.000189	0.282786
-1.112003	-0.056507	0.045043	0.000260	0.282469
-0.649835	-0.216306	0.050048	0.000159	0.282111
-0.646091	-0.338700	0.055053	0.000158	0.281569
-1.079631	-0.389642	0.060058	0.000253	0.281012
-0.874348	-0.539007	0.065062	0.000208	0.280502
-0.517094	-0.747292	0.070067	0.000130	0.279844
-1.140429	-0.811289	0.075072	0.000267	0.279079
-1.973655	-0.804605	0.080077	0.000449	0.278469
-1.518931	-1.019464	0.085082	0.000349	0.277852
-1.449725	-1.200569	0.090086	0.000334	0.277087
-1.798576	-1.321040	0.095091	0.000411	0.276271
-1.401452	-1.563576	0.100096	0.000324	0.275478
-0.937328	-1.864557	0.105101	0.000223	0.274468
-1.536612	-2.001959	0.110106	0.000354	0.273371
-1.851766	-2.169159	0.115110	0.000423	0.272355
-1.936223	-2.384674	0.120115	0.000441	0.271295
-2.140244	-2.574885	0.125120	0.000486	0.270254
-4.029273	-2.450542	0.130125	0.000898	0.269331
-3.681802	-2.663853	0.135130	0.000823	0.268614
-3.810690	-2.827812	0.140134	0.000851	0.267745
-4.890751	-2.817795	0.145139	0.001087	0.266927
-5.403866	-2.858893	0.150144	0.001199	0.266321
-5.137976	-3.049831	0.155149	0.001141	0.265636
-5.872547	-3.065166	0.160154	0.001301	0.264970
-6.368857	-3.100108	0.165158	0.001409	0.264403
-5.565840	-3.382268	0.170163	0.001234	0.263715
-6.017891	-3.479904	0.175168	0.001333	0.262883
-7.075256	-3.446332	0.180173	0.001564	0.262180
-7.142452	-3.555670	0.185178	0.001578	0.261602
-7.415995	-3.648417	0.190182	0.001638	0.260932
-8.593076	-3.555601	0.195187	0.001895	0.260411
-9.288119	-3.495019	0.200192	0.002047	0.260130
-8.507678	-3.720137	0.205197	0.001877	0.259688
-9.430336	-3.670903	0.210202	0.002078	0.259164
-10.986026	-3.464602	0.215206	0.002417	0.258875
-10.595714	-3.563832	0.220211	0.002332	0.258718
-10.494492	-3.629699	0.225216	0.002310	0.258483
-11.446874	-3.536603	0.230221	0.002518	0.258144
-11.813255	-3.483161	0.235226	0.002598	0.258099
-11.161591	-3.648536	0.240230	0.002456	0.257837
-11.789357	-3.616758	0.245235	0.002593	0.257470
-12.385385	-3.575741	0.250240	0.002723	0.257173
-11.804889	-3.713780	0.255245	0.002596	0.256984
-11.628325	-3.850261	0.260250	0.002558	0.256465
-12.163545	-3.847956	0.265254	0.002675	0.256029
-12.259818	-3.924202	0.270259	0.002696	0.255575
-12.281905	-4.012188	0.275264	0.002700	0.255124
-13.921447	-3.820904	0.280269	0.003058	0.254686
-15.296971	-3.583819	0.285274	0.003358	0.254695
-14.809879	-3.667340	0.290278	0.003252	0.254694
-14.886776	-3.719660	0.295283	0.003269	0.254372
-15.445868	-3.623101	0.300288	0.003391	0.254377
-15.170999	-3.708220	0.305293	0.003331	0.254189
-14.413292	-3.899863	0.310298	0.003166	0.253883
-15.489774	-3.806356	0.315302	0.003401	0.253435
-16.282333	-3.724891	0.320307	0.003574	0.253167
-15.735224	-3.843631	0.325312	0.003454	0.253043
-15.913282	-3.893143	0.330317	0.003493	0.252646
-16.820173	-3.796510	0.335322	0.003691	0.252356
-16.771107	-3.846466	0.340326	0.003680	0.252150
-16.584346	-3.956544	0.345331	0.003639	0.251761
-17.114666	-3.936149	0.350336	0.003755	0.251411
-17.936233	-3.836020	0.355341	0.003935	0.251209
-18.462538	-3.802179	0.360346	0.004049	0.250929
-18.351643	-3.836110	0.365350	0.004025	0.250854
-18.537090	-3.852357	0.370355	0.004066	0.250614
-18.687496	-3.871528	0.375360	0.004098	0.250390
-18.539267	-3.953045	0.380365	0.004066	0.250108
-18.804339	-3.984722	0.385370	0.004124	0.249722
-24.019142	-3.099683	0.390374	0.005262	0.249687
-24.072936	-2.890631	0.395379	0.005274	0.250689
-22.681009	-3.008417	0.400384	0.004970	0.251290
-21.803892	-3.104263	0.405389	0.004778	0.251560
-21.857314	-3.095787	0.410394	0.004790	0.251557
-21.925070	-3.084445	0.415398	0.004805	0.251556
-21.688804	-3.125519	0.420403	0.004753	0.251553
-22.111411	-3.052608	0.425408	0.004845	0.251556
-22.344162	-3.026973	0.430413	0.004896	0.251485
-22.618281	-3.019782	0.435418	0.004956	0.251287
