Thu Jun 09 10:52:38 2022

Number of Points = 5634
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.844849	0.083683	0.000000	0.000062	0.307858

-0.895206	0.096610	0.005005	0.000072	0.307879
-0.837017	0.044047	0.010010	0.000058	0.307709
-0.941669	0.032738	0.015014	0.000080	0.307594
-1.020080	0.034923	0.020019	0.000096	0.307552
-0.789758	-0.080251	0.025024	0.000045	0.307246
-0.696784	-0.184051	0.030029	0.000024	0.306891
-0.630473	-0.293956	0.035034	0.000008	0.306492
-0.593343	-0.413541	0.040038	-0.000001	0.306032
-0.817840	-0.505136	0.045043	0.000047	0.305504
-0.653124	-0.666088	0.050048	0.000010	0.304962
-0.913186	-0.780137	0.055053	0.000066	0.304315
-1.070795	-0.919252	0.060058	0.000100	0.303634
-0.770454	-1.143300	0.065062	0.000033	0.302925
-0.614442	-1.375086	0.070067	-0.000002	0.302079
-0.759747	-1.573637	0.075072	0.000029	0.301155
-0.735038	-1.798451	0.080077	0.000023	0.300240
-0.637579	-2.061941	0.085082	0.000000	0.299213
-0.846035	-2.285718	0.090086	0.000045	0.298129
-0.765431	-2.570290	0.095091	0.000027	0.296993
-0.625413	-2.885010	0.100096	-0.000005	0.295768
-0.659910	-3.178993	0.105101	0.000002	0.294499
-0.781452	-3.477961	0.110106	0.000027	0.293140
-0.733967	-3.817158	0.115110	0.000016	0.291726
-0.917054	-4.115235	0.120115	0.000055	0.290313
-0.954137	-4.452671	0.125120	0.000063	0.288830
-0.929349	-4.813124	0.130125	0.000056	0.287286
-0.761297	-5.213222	0.135130	0.000019	0.285666
-0.956040	-5.561674	0.140134	0.000061	0.283992
-1.037124	-5.943383	0.145139	0.000078	0.282246
-1.004307	-6.342215	0.150144	0.000070	0.280500
-1.160310	-6.721971	0.155149	0.000103	0.278684
-1.467121	-7.082330	0.160154	0.000169	0.276827
-1.504870	-7.476539	0.165158	0.000177	0.275013
-1.246152	-7.946974	0.170163	0.000119	0.273069
-1.469223	-8.346385	0.175168	0.000167	0.271060
-1.319319	-8.820510	0.180173	0.000134	0.268984
-1.218009	-9.301476	0.185178	0.000111	0.266821
-1.343297	-9.745329	0.190182	0.000138	0.264633
-1.518045	-10.193210	0.195187	0.000175	0.262367
-1.546099	-10.660289	0.200192	0.000180	0.260109
-1.686375	-11.122129	0.205197	0.000210	0.257764
-1.593885	-11.620728	0.210202	0.000189	0.255412
-1.590511	-12.119893	0.215206	0.000188	0.252960
-1.338983	-12.676096	0.220211	0.000132	0.250412
-1.353052	-13.195657	0.225216	0.000135	0.247792
-1.532841	-13.693941	0.230221	0.000173	0.245109
-1.625417	-14.210312	0.235226	0.000193	0.242379
-1.906313	-14.682845	0.240230	0.000253	0.239679
-1.966902	-15.199637	0.245235	0.000266	0.236914
-1.835088	-15.748493	0.250240	0.000236	0.234121
-1.890296	-16.279457	0.255245	0.000248	0.231217
-1.957671	-16.807414	0.260250	0.000262	0.228281
-1.971303	-17.345639	0.265254	0.000264	0.225302
-1.856452	-17.918310	0.270259	0.000238	0.222212
-2.129807	-18.417223	0.275264	0.000297	0.219120
-2.112881	-18.968042	0.280269	0.000293	0.215972
-2.364365	-19.469723	0.285274	0.000347	0.212795
-2.430689	-19.998241	0.290278	0.000361	0.209599
