Case,hc(nm),Pmax(uN),S(uN/nm),A(nm^2),hmax(nm),heff(nm),E* (GPa),H(GPa),A,hf(nm),m,X(mm),Y(mm),Drift(nm/s),C (GPa),dP/dh (N/m),Wp/Wt,sy (GPa),md,T (C)
0,221.638155,10000.61621,212.702699,1332622.658,258.777954,256.900811,163.250392,7.504462,35.515948,193.089586,1.357198,-86.404249,-23.72997,1.519944,149.3386466,195799.5435,0.727383906,0.83,0.151998,250
1,159.431568,10000.922,155.944219,748411.9348,208.865644,207.530122,159.710605,13.362857,16.835593,116.690731,1.416457,-86.394249,-23.72997,-0.337613,229.2482459,151059.8368,0.523974028,0.83,0.067462,250
2,168.780299,10000.84121,176.215662,825606.3315,211.612432,211.345363,171.827562,12.113329,38.887618,138.012139,1.292138,-86.384249,-23.72997,-1.091362,223.3336557,194584.6856,0.626159033,0.83,5.720399,250
3,299.522782,10000.41779,209.680164,2302545.452,335.453809,335.293039,122.430062,4.343201,0.536832,233.791284,2.128202,-86.374249,-23.72997,-1.371977,88.86949021,210508.5233,0.641724823,0.83,11.289206,250
4,193.793451,10000.71887,174.825848,1050507.718,237.066504,236.69637,151.126577,9.519891,40.908509,163.438463,1.280646,-86.364248,-23.72997,-1.336256,177.9470647,174628.2505,0.601072386,0.83,11.265038,250
5,234.021504,10000.9251,227.288146,1468937.4,267.466457,267.022318,166.153682,6.808272,17.984398,200.712131,1.507013,-86.404249,-23.71997,-1.236198,139.7981824,215423.5776,0.754704635,0.83,0.13845,250
6,234.075738,10000.79777,209.347944,1469549.174,270.13906,269.904121,153.007059,6.805351,46.682418,207.805039,1.299928,-86.394249,-23.71997,-1.141737,137.0439528,231240.6941,0.745348011,0.83,0.157343,250
7,335.102672,10000.88255,210.898232,2835653.506,371.012856,370.667986,110.963766,3.526835,52.531545,310.030724,1.278716,-86.384249,-23.71997,-0.867413,72.65414723,216679.0471,0.740200688,0.83,6.477469,250
8,255.10536,10000.62604,185.577777,1716518.592,296.194613,295.522212,125.497924,5.82611,21.894062,219.355021,1.413405,-86.374249,-23.71997,-0.647944,113.9916071,205085.9064,0.596196749,0.83,0.283647,250
9,538.665776,10000.86191,238.996728,6996645.421,570.364461,570.049664,80.053781,1.42938,1.218765,485.140055,2.029137,-86.364248,-23.71997,-0.487354,30.74202819,230491.9132,0.827757681,0.83,6.357689,250
10,361.066595,10000.58782,220.419004,3260751.168,396.429184,395.0947,108.149629,3.066958,20.941657,328.447903,1.468936,-86.404249,-23.70997,-0.471094,63.63474248,202285.5342,0.749021816,0.83,6.716977,250
11,544.612501,10000.46585,216.61825,7146989.52,579.656298,579.237236,71.790718,1.399256,19.806001,511.154639,1.474725,-86.394249,-23.70997,-0.352307,29.7631651,206616.3486,0.676578344,0.83,1.027214,250
12,494.301546,10000.5095,187.028654,5926950.278,534.316557,534.404397,68.065546,1.687294,26.696299,460.714088,1.37815,-86.384249,-23.70997,-0.250249,35.02876798,195876.8603,0.703541996,0.83,7.941369,250
13,523.894722,10000.62347,197.866965,6630331.085,562.712711,561.801341,68.083287,1.508314,2.447336,469.027931,1.835565,-86.374249,-23.70997,-0.045874,31.58301781,189032.4622,0.575217161,0.83,8.042902,250
14,537.589018,10000.46948,175.881775,6969599.152,580.645986,580.233301,59.027143,1.43487,12.853811,495.073313,1.497739,-86.364248,-23.70997,-0.094306,29.66180207,177948.7476,0.602046817,0.83,9.926612,250
15,477.915772,10000.64589,221.019273,5554959.534,511.581853,511.851656,83.085364,1.800309,0.508064,414.198481,2.158184,-86.404249,-23.69997,0.158902,38.21182573,274469.0463,0.723025945,0.83,1.985257,250
16,652.979494,10000.64447,187.041077,10176248.83,693.486603,693.080222,51.949092,0.982744,18.275841,615.588157,1.449327,-86.394249,-23.69997,0.112278,20.79466062,193215.0084,0.685184357,0.83,12.364093,250
17,688.26006,10001.25497,204.61772,11281395.34,725.170271,724.918377,53.975498,0.886526,33.958984,658.654858,1.355699,-86.384249,-23.69997,0.034049,19.0184236,196035.1873,0.732552155,0.83,11.741316,250
18,563.66323,10000.47074,174.899174,7639728.674,607.047782,606.547097,56.06394,1.309009,19.256276,525.257819,1.421676,-86.374249,-23.69997,0.222734,27.13780329,181527.9325,0.637771359,0.83,7.722656,250
19,826.34813,10000.95854,173.455267,16172115.42,870.058528,869.591088,38.215444,0.618408,18.354406,787.235647,1.428362,-86.364248,-23.69997,0.221965,13.21127372,172253.9309,0.648607996,0.83,9.302666,250
20,872.802015,10001.23461,219.340171,18020537.45,907.181813,906.9997,45.779299,0.554991,4.531965,826.906334,1.756552,-86.404249,-23.68997,-0.027953,12.15248084,226024.2675,0.81938453,0.83,11.264605,250
21,758.123982,10000.82637,199.497954,13643050.85,796.110984,795.721459,47.853921,0.733034,30.753644,727.138357,1.368106,-86.394249,-23.68997,0.038974,15.77933351,193805.7012,0.733569194,0.83,11.229633,250
22,682.396726,10001.06757,177.644369,11093668.61,725.218746,724.620415,47.255099,0.901511,35.136084,650.685859,1.313266,-86.384249,-23.68997,0.005335,19.01552492,178418.8831,0.659542347,0.83,7.589708,250
23,722.897383,10001.05889,183.373491,12423454.44,764.116296,763.801846,46.094615,0.805014,9.185708,678.112106,1.571156,-86.374249,-23.68997,0.051276,17.12880483,198334.6226,0.678216458,0.83,10.359306,250
24,839.106008,10000.46584,222.543363,16669547.05,874.025325,872.808875,48.293377,0.599924,0.599559,777.042695,2.131113,-86.364248,-23.68997,0.044882,13.09098115,240301.0373,0.721093332,0.83,8.351139,250
