Case,hc(nm),Pmax(uN),S(uN/nm),A(nm^2),hmax(nm),heff(nm),E* (GPa),H(GPa),A,hf(nm),m,X(mm),Y(mm),Drift(nm/s),C (GPa),dP/dh (N/m),Wp/Wt,sy (GPa),md
0,146.593346,10003.31028,155.784815,715158.4317,194.415682,194.752615,163.214531,13.987544,20.617239,106.183604,1.379314,-80.873809,-25.70306,1.128057,264.6556399851497,169781.4796480516,0.551821210393887,0.83,9.342350999999994
1,183.375139,10000.84182,171.158474,1049852.31,226.927036,227.197867,148.002527,9.525951,12.594743,139.902744,1.494004,-80.863809,-25.70306,0.484601,194.2066410851911,185445.96359319668,0.6346008652491102,0.83,0.005099999999998772
2,190.409814,10000.91563,170.355784,1121009.464,234.172001,234.439354,142.556515,8.921348,16.189447,149.508446,1.446715,-80.853809,-25.70306,0.101847,182.37690003290257,181698.17995122285,0.6592279943945131,0.83,0.6570449999999823
3,220.988833,10000.70096,186.100152,1457123.141,261.029894,261.292538,136.594568,6.863319,13.857941,180.713384,1.499474,-80.843809,-25.70306,0.033632,146.7742761407623,200373.53608189087,0.7056964477069875,0.83,0.006821999999999662
4,213.388132,10000.69178,178.796862,1369501.691,255.337139,255.338079,135.367196,7.302431,17.207831,174.325594,1.448378,-80.833808,-25.70306,0.008012,153.3917728126113,170225.00735920915,0.6819547582041023,0.83,0.21489900000000262
5,157.982089,10000.50851,161.05459,812101.7617,204.235583,204.552518,158.3444,12.314354,18.304083,117.029477,1.409527,-80.873809,-25.69306,-0.003288,239.75035831594613,170154.0647536648,0.5928905503233284,0.83,6.5005529999999965
6,200.192918,10000.81817,171.495213,1223796.164,243.801484,243.929496,137.351146,8.171964,15.275832,158.837511,1.459167,-80.863809,-25.69306,0.047102,168.25300970248963,179650.4045010481,0.6610254105757133,0.83,0.22256400000000554
7,225.506299,10000.37689,191.252054,1510481.468,264.413483,264.723042,137.874273,6.620655,17.566906,188.234751,1.462799,-80.853809,-25.69306,0.044446,143.03725724262503,195966.55935262816,0.7174448955161644,0.83,0.03499500000000921
8,154.094326,10000.82124,166.029051,778335.4605,199.041147,199.270854,166.738352,12.848986,25.603089,117.619407,1.35554,-80.843809,-25.69306,0.002852,252.43521137987238,178494.70163511386,0.5884396447242111,0.83,5.885119000000003
9,151.307618,10001.03511,166.084317,754561.4408,196.394025,196.470078,169.40107,13.254103,18.762586,111.387513,1.412942,-80.833808,-25.69306,0.031783,259.2915776463625,177741.58143798963,0.5754415454204087,0.83,0.27355999999998915
10,218.802212,10000.86275,187.010907,1431638.775,258.930807,258.910285,138.479357,6.985605,11.804384,177.059849,1.53056,-80.873809,-25.68306,0.035247,149.1660595678457,201910.3265641078,0.702334684897328,0.83,0.2344410000000039
11,160.786824,10000.95177,163.560828,836895.2594,206.557235,206.645689,158.408534,11.950064,17.25999,119.558946,1.424262,-80.863809,-25.68306,0.016963,234.40156663901288,167259.70421384025,0.5956294661318732,0.83,0.06800699999999438
12,168.596315,10000.56166,163.563901,907847.063,214.242024,214.452529,152.095352,11.01569,16.526463,126.884879,1.43221,-80.853809,-25.68306,0.018495,217.87884619153647,163336.4670400769,0.6143791169905296,0.83,6.031825000000005
13,191.103402,10000.89604,180.202966,1128149.899,232.54642,232.726868,150.31882,8.864865,17.682431,152.508409,1.445431,-80.843809,-25.68306,0.048608,184.93520655954552,195372.08578383763,0.6547980863477599,0.83,0.2709740000000238
14,214.697975,10000.77711,183.743875,1384409.014,255.477844,255.518834,138.361573,7.22386,12.485163,173.048061,1.515232,-80.833808,-25.68306,0.048194,153.22416496971397,172790.21238570035,0.6918019383680262,0.83,0.28147599999999784
15,151.93798,10000.29181,168.901653,759907.8391,196.184551,196.343815,171.667572,13.159875,19.435131,112.811284,1.410837,-80.873809,-25.673059,0.048581,259.8262726667842,179364.60057136285,0.5876339786880302,0.83,9.087890999999999
16,163.701236,10000.41545,167.755043,863043.5939,208.20588,208.411139,159.990445,11.587382,18.650639,123.960111,1.41665,-80.863809,-25.673059,0.072179,230.69174897787354,183504.08098541579,0.6053735699369357,0.83,5.497053000000001
17,224.746316,10000.49037,193.257424,1501438.04,263.55012,263.55656,139.738896,6.660608,14.642935,185.948793,1.499754,-80.853809,-25.673059,0.257346,143.97757661663653,208835.30843852507,0.7231145663115769,0.83,0.06799499999999625
18,152.425956,10000.68584,168.270263,764059.1807,197.007206,197.000168,170.560595,13.088889,16.53947,111.44596,1.439524,-80.843809,-25.673059,0.107181,257.6710107542706,165609.34852965758,0.585825717132843,0.83,7.719637000000006
19,224.450413,10000.4585,191.828327,1497924.249,263.594715,263.549664,138.868147,6.676211,13.95587,185.004904,1.506642,-80.833808,-25.673059,0.046342,143.92840575555195,223866.47401534434,0.7156539089681008,0.83,0.30135000000001355
20,176.780105,10001.02754,169.288987,985230.6143,220.941158,221.087598,151.11048,10.150951,20.75472,138.421319,1.399305,-80.873809,-25.663059,0.068291,204.876134451491,188141.79256885554,0.6208762395518111,0.83,0.24037100000001033
21,155.723181,10000.65221,163.340492,792397.555,201.420399,201.64253,162.576259,12.620751,22.60749,117.494037,1.374396,-80.863809,-25.663059,0.047495,246.50255228456305,165943.57440087522,0.5853329925151651,0.83,0.320266999999987
22,219.585529,10000.65082,185.89938,1440742.369,259.960647,259.932561,137.220692,6.941318,15.05558,180.110991,1.483781,-80.853809,-25.663059,0.073621,147.98341506386652,201811.85270808762,0.7031019091935476,0.83,6.939122000000001
23,148.098321,10001.00252,164.412274,727626.0398,193.722911,193.719926,170.771324,13.744701,15.875178,106.071024,1.440911,-80.843809,-25.663059,0.057261,266.4903970580625,175878.9577138881,0.5629160263553706,0.83,0.13849899999999593
24,152.886266,10000.64166,159.55799,767985.2296,199.790078,199.894136,161.315817,13.021919,24.192936,114.900859,1.356049,-80.833808,-25.663059,0.062831,250.5417076464485,163859.10689112023,0.5885126985733147,0.83,6.894103999999999
