Case,hc(nm),Pmax(uN),S(uN/nm),A(nm^2),hmax(nm),heff(nm),E* (GPa),H(GPa),A,hf(nm),m,X(mm),Y(mm),Drift(nm/s),hm (um),C (GPa),dP/dh (N/m),Wp/Wt
0,253.833355,10000.6537,226.49147,1701026.383,288.764596,286.94935,153.861922,5.879188,0.063167,174.920554,2.537191,-86.177118,-24.181329,3.717172,0.288764596,119.9334973,169354.1593,0.747585126
1,210.651683,10001.23923,208.807689,1217289.756,246.666024,246.574352,167.681184,8.215989,14.938723,173.869723,1.51794,-86.16712,-24.181329,0.978713,0.246666024,164.3747664,233228.7039,0.702323692
2,193.475012,10000.72167,158.626231,1047475.594,241.458976,240.759381,137.321291,9.547451,12.865297,148.104067,1.46965,-86.167688,-24.155469,2.376456,0.241458976,171.5317947,139287.0288,0.562276671
3,2732.1873,10000.73237,205.725339,177268822,2767.535503,2768.646344,13.690094,0.056416,11.385838,2692.579022,1.564783,-86.15769,-24.155469,0.036733,2.767535503,1.305706011,265105.6921,0.861472594
4,2441.721183,10000.46796,232.774263,141358997.4,2475.546592,2473.942747,17.346348,0.070745,9.90179,2403.980296,1.62847,-86.14769,-24.155469,-0.250264,2.475546592,1.631842026,235661.5972,0.908308051
5,283.910671,10000.9936,212.511291,2086551.141,319.533732,319.20642,130.347384,4.793074,1.960932,229.792639,1.899955,-86.13769,-24.155469,-0.615956,0.319533732,97.95119208,223723.4966,0.693153645
6,333.752688,10000.85855,221.951247,2814385.22,368.116572,367.546794,117.219711,3.553479,107.166695,315.764223,1.149222,-86.015228,-24.211231,0.00883,0.368116572,73.80173072,208064.1902,0.71097623
7,585.670879,10000.78115,186.643614,8230042.875,626.436075,625.857552,57.643045,1.215155,16.188396,547.01781,1.471379,-86.00523,-24.211231,0.037017,0.626436075,25.48475155,193390.7733,0.764675472
8,374.308888,10000.72562,243.260779,3489345.371,406.640806,405.142236,115.381171,2.866075,14.923849,340.878677,1.563167,-85.99523,-24.211231,0.023312,0.406640806,60.47969566,233376.7206,0.788065774
9,208.502278,10000.85535,200.124542,1195340.154,247.078036,245.982146,162.177061,8.366535,3.397611,157.043253,1.779733,-85.985229,-24.211231,0.040779,0.247078036,163.820733,166126.1309,0.638735878
10,209.466605,10000.3249,201.959344,1205162.986,250.334612,246.603998,162.995602,8.297902,0.024957,115.576543,2.646136,-85.975229,-24.211231,0.030056,0.250334612,159.5777395,153905.7769,0.547330482
11,220.140416,10000.58764,163.411272,1316590.136,266.83322,266.039579,126.180296,7.595825,1.538555,152.497818,1.855291,-86.015228,-24.201231,0.026417,0.26683322,140.4577561,149602.6384,0.569359085
12,218.43193,10000.81245,194.60126,1298421.164,256.673314,256.975408,151.31176,7.702287,3.45667,166.137581,1.767572,-86.00523,-24.201231,0.031334,0.256673314,151.8007254,224403.976,0.66324224
13,277.915831,10000.70124,193.34803,2006503.076,317.78858,316.708706,120.93574,4.984144,1.32776,216.491565,1.937543,-85.99523,-24.201231,-0.259621,0.31778858,99.02705887,177514.3603,0.663116738
14,178.620148,10001.03565,141.91414,910879.806,228.735892,231.474478,131.743731,10.979534,30.732694,140.982263,1.284079,-85.985229,-24.201231,0.03739,0.228735892,191.1508974,220905.2816,0.512652686
